Country,Location,LAT,LON,YEAR,Temp_Avg,Humidity_avg,Precipitation_total,Price_USD_avg
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2014,22.379465753424657,75.51038356164383,673.27,234.22089035314187
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2015,23.62464383561644,73.1946301369863,750.33,175.46091035515687
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2016,22.986079234972678,75.44333333333333,1087.06,179.9858085069116
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2017,21.996917808219177,77.14427397260273,923.67,175.89978053747058
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2018,21.91091780821918,81.17315068493151,1340.69,149.086144577658
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2019,23.123273972602743,75.8614794520548,951.33,133.99587562494833
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2020,21.927254098360656,81.14409836065575,1312.85,147.06744784057554
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2021,22.34331506849315,77.13342465753425,1057.03,222.792701555399
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2022,22.343698630136984,76.65594520547944,970.14,283.6718312421424
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2023,23.596068493150685,74.95531506849315,729.43,228.04699731234828
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2024,24.240368852459017,72.86133879781421,782.05,311.2203129720131
Brazil,Brazil_Espirito_Santo_Conceicao,-20.3633,-41.2502,2025,23.051157894736843,78.97863157894737,465.51,483.0933575181901
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2000,22.292843406593406,75.94978021978022,1252.36,118.067579652453
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2001,23.201465753424657,70.13882191780822,943.43,72.35769353532963
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2002,22.676109589041097,75.6038904109589,1241.67,70.57304118548562
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2003,22.89464383561644,70.59095890410958,878.84,81.90845545419572
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2004,21.86882513661202,78.40560109289618,1384.11,100.5635896139714
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2005,22.495739726027395,77.00419178082191,1320.77,141.7734013143632
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2006,22.10045205479452,75.49698630136987,1446.72,142.65802623060983
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2007,22.860945205479453,70.32443835616438,648.72,155.3673089621264
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2008,22.985013661202185,70.07090163934427,1096.74,174.61901225399788
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2009,22.870356164383562,75.49695890410959,1165.79,165.59558331718424
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2010,23.251643835616438,70.37772602739726,906.75,216.2632911006744
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2011,22.376630136986304,73.3685205479452,1049.54,334.9610611343685
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2012,22.845000000000002,71.45953551912568,872.85,231.1730312738058
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2013,23.274027397260276,71.4445205479452,1335.14,166.62263243825544
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2014,22.84921917808219,71.09882191780822,669.5,234.22089035314187
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2015,24.490643835616435,65.22117808219178,661.5,175.46091035515687
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2016,23.818592896174863,68.88896174863388,1017.03,179.9858085069116
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2017,23.311424657534246,68.27287671232877,725.68,175.89978053747058
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2018,23.30694520547945,71.57876712328768,1072.11,149.086144577658
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2019,24.348835616438357,66.78627397260274,619.41,133.99587562494833
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2020,22.64454918032787,76.23030054644809,1212.23,147.06744784057554
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2021,23.25445205479452,69.46358904109589,1176.59,222.792701555399
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2022,22.951479452054798,70.07865753424657,905.54,283.6718312421424
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2023,24.66053424657534,65.5661095890411,585.27,228.04699731234828
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2024,24.55943989071038,66.92109289617486,825.41,311.2203129720131
Brazil,Brazil_Minas_Gerais_Aqua_Boa,-17.991,-42.3906,2025,24.366684210526316,68.63142105263158,257.43,483.0933575181901
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2000,20.931250000000002,75.69475274725275,1414.05,118.067579652453
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2001,21.74291780821918,69.80386301369863,1199.91,72.35769353532963
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2002,21.950753424657535,71.92835616438356,1273.39,70.57304118548562
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2003,21.05327397260274,74.28673972602739,1359.93,81.90845545419572
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2004,20.586693989071037,77.46125683060109,1628.35,100.5635896139714
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2005,21.20249315068493,75.86249315068494,1364.34,141.7734013143632
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2006,21.22646575342466,73.11950684931506,1313.91,142.65802623060983
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2007,21.582972602739726,70.22550684931507,1069.83,155.3673089621264
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2008,20.992636612021858,75.2139344262295,1548.01,174.61901225399788
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2009,21.275150684931507,79.21260273972602,1414.57,165.59558331718424
Brazil,Brazil_Minas_Gerais_Manhuacu,-20.2579,-46.1628,2010,21.696027397260274,69.81005479452054,1089.9,216.2632911006744
